country,prct_rpt_crime,prct_env_satis_high,prct_env_satis_low,gdp,life_expect,prct_low_savings,prct_rpt_pollution,total_pop,avg_hrs_worked,unemp_rate,political_trust_rating,legal_trust_rating,prct_yng_adt_pop,median_income,prct_health_good_global,prct_health_bad_global,prct_budget_veryhard,prct_budget_hard,prct_budget_easy,prct_budget_veryeasy,prct_life_satis_low,prct_life_satis_low
Austria,12.4,57.2,9.5,356237.6,81.8,22.6,10.7,8401940,36.5,6,4.4,6,18.6775435197109,23071,70.2,8.1,4.3,8.5,21.4,9.9,12.9,12.9
Belgium,13.4,22.2,7.5,424660.3,81.5,25.9,13.2,11000638,37,7.8,4.6,5,18.4851460433477,21335,73.7,9.2,9.3,12.2,29,6.4,9.2,9.2
Bulgaria,25,8.4,59,48128.6,74.9,54.2,15.1,7364570,40.8,7.6,2.6,3,18.4325765115954,6742,65.8,11,28.9,32.8,2.1,0.3,64.2,64.2
Croatia,3,22.4,39.7,46639.5,78.2,57.7,7,4284889,39.4,13.1,2.8,3.3,18.5512623547541,8985,59.3,18.6,20.4,31,2.8,0.4,35.4,35.4
Cyprus,9.8,13.4,37.3,18490.2,82.7,56.6,9.2,840407,39.2,13,2.6,3.6,23.3226282027637,16173,78.7,4.5,29.4,30.4,3.8,0.7,37,37
Czechia,11.7,33.5,17.8,176370.1,79.1,32.1,13.5,10436560,40.3,4,3.7,3.8,18.8624891726776,12478,60.4,11.7,7.1,16.1,9.4,1.5,25.4,25.4
Denmark,8.4,52.2,10.9,282089.9,80.9,24.5,6.8,5560628,32.9,6.2,5.9,7.5,18.0820044066965,21355,71.3,7.6,3.2,6.8,26.2,16.1,10.6,10.6
Estonia,9.2,18.1,28.5,21682.6,78,31.6,9.9,1294455,38.4,6.8,4.4,5.2,19.6883630562669,11867,52.9,14.4,4.9,10.5,11.3,1.9,34.4,34.4
Finland,6.5,34.7,9,216073,81.5,29.4,7.2,5375276,36.7,8.8,6,7.2,18.7139599901475,19997,70.3,5.9,2.3,4.6,25.8,16.9,6,6
France,14.8,27.9,10.5,2228568,82.7,31.8,14.1,64933400,37.3,10.1,3,4.5,18.5275004851124,20621,66.4,8.1,4.2,15,12.2,1.9,19.1,19.1
Germany,14.1,40.9,15.9,3159750,81,30,23.2,80219695,35.1,4.1,4.9,5.3,17.105589842993,21152,65.2,8.3,2.3,4.6,32.2,12,19.2,19.2
Greece,11.8,18.3,36.5,176487.9,81.5,53.6,19.6,10816286,42.3,23.6,2,4.1,17.604416155416,9048,74,10.3,40.6,36.2,1.5,0.3,35.5,35.5
Hungary,9.7,15.8,32.3,113903.8,76.2,50.8,12.8,9937628,39.7,5.1,4.5,5.1,18.3451221961619,8267,59.6,13.2,17.1,25.7,3.1,0.4,38.5,38.5
Iceland,2.2,29.2,14.2,18646.1,82.2,30.9,7.9,315556,39.3,3,3.7,5.7,21.5933146573033,22193,76,6.5,6.2,7.9,15.7,14.3,9.5,9.5
Ireland,9.9,43.7,10.1,273238.2,81.8,45.3,4.6,4574888,35.9,8.4,3.2,5.1,20.6013349397843,18286,82.8,3.6,12,15.4,7.7,2.7,16.7,16.7
Italy,14.7,11,35.5,1689824,83.4,40.4,15.1,59433744,37,11.7,2.1,3.6,15.4749732744415,16237,70.9,7.7,10.9,22.4,4.4,0.3,22.7,22.7
Latvia,10,26.2,19.1,25037.7,74.9,60,17.2,2070371,38.7,9.6,3.6,4.5,20.4428578259645,9257,47.2,15.6,12.4,26.9,4.6,0.9,30.8,30.8
Lithuania,3.4,42.1,13,38849.4,74.9,53.2,15.6,3043429,38.5,7.9,4.5,4.9,20.526780812038,9364,43.4,16.9,6.9,22.7,3.4,0.3,27.9,27.9
Luxembourg,12.2,33.9,9.2,53303,82.7,21.9,16.1,512353,37.5,6.3,5,5.3,18.9406522456197,28663,69.2,9.6,4.2,8.2,29.9,8.6,14.8,14.8
Malta,10.4,31,22.7,10344.1,82.6,20.8,30.2,417432,38.7,4.7,5.7,4.9,20.5906590774066,17264,72.9,3.1,6.7,13.2,13.5,1.6,20.4,20.4
Netherlands,16.9,31.3,4,708337,81.7,22.5,13.2,16655799,30.3,6,5.5,6.2,18.2699791225867,21189,75.9,4.9,3,9.6,41.1,12,5.6,5.6
Norway,4.6,48.1,6.1,335747.5,82.5,18.1,6.8,4979954,33.8,4.7,5.9,7.2,19.5865463817537,27670,77.2,7.7,2,3.4,33.9,22.2,10.3,10.3
Poland,5.6,39.7,18.2,426547.5,78,37.9,11.4,38044565,40.7,6.2,3.5,4.2,21.9158084735625,10865,58.6,13.7,8.4,16.4,8.3,2.2,19.9,19.9
Portugal,7.8,19.6,37.8,186480.5,81.3,38.3,13.1,10562178,39.4,11.2,1.7,2.9,17.0740447661458,10805,47.7,15.9,17,19.7,7,0.5,40.5,40.5
Romania,14.1,29.1,15,170393.6,75.3,54.5,14.5,20121641,39.9,5.9,4.8,5.8,18.7753275192615,4724,70.5,7.2,18.1,26,2.6,0.7,16.7,16.7
Slovakia,6.9,22.8,28.3,81226.1,77.3,37.9,9.3,5397036,40.1,9.7,3.5,3.6,21.9085994608893,10466,66.5,11.7,10.1,19.5,4.7,0.7,26.4,26.4
Slovenia,8.5,42.3,17.6,40357.2,81.2,41.7,15.9,2050189,39.3,8,1.8,2.7,18.3087998228456,15250,64.5,9.9,8,17.9,12.2,1.8,24.4,24.4
Spain,10.3,23.7,17.4,1118743,83.5,38.7,10.1,46815910,37.7,19.6,1.9,3.1,16.6743314398887,15347,72.5,6.9,16.6,19,11.1,0.9,23.2,23.2
Sweden,12.7,34.7,14.4,463147.5,82.4,20.7,6.3,9482855,36.4,7,5.5,6.7,19.3862924193189,20955,75,5.7,3.1,4.5,26.1,22.1,9,9
Switzerland,10.9,41.8,12,605753.7,83.7,21,8.9,7954662,34.7,5,6.6,7,18.4457868857281,27692,77.7,4.5,3.7,8.9,30,11.9,8,8
Turkey,10.7,18.3,39.5,780224.9,78.1,34.4,24.5,7954662,46.8,10.9,4.9,5.4,18.7139599901475,6501,68.8,9.6,6.8,26.3,10.1,0.5,50.3,50.3
United_Kingdom,16.8,38.2,11.3,2403382.6,81.2,38,9,63182180,36.6,4.8,3.8,5.5,19.9423160137874,17296,68.9,8.8,6.8,9.5,16.5,10,19.1,19.1